FEDNUM,Riding,Party
59022,Pitt Meadows—Maple Ridge,Conservative
24057,Pontiac,Liberal
59023,Port Moody—Coquitlam,Conservative
46007,Portage—Lisgar,Conservative
24058,Portneuf—Jacques-Cartier,Conservative
47006,Prince Albert,Conservative
59024,Prince George—Peace River—Northern Rockies,Conservative
46008,Provencher,Conservative
24059,Québec,Liberal
48030,Red Deer—Lacombe,Conservative
48029,Red Deer—Mountain View,Conservative
47007,Regina—Lewvan,Conservative
47008,Regina—Qu'Appelle,Conservative
47009,Regina—Wascana,Conservative
35086,Renfrew—Nipissing—Pembroke,Conservative
24060,Repentigny,Bloc Québécois
59025,Richmond Centre,Conservative
35087,Richmond Hill,Liberal
24061,Richmond—Arthabaska,Conservative
24018,Rimouski-Neigette—Témiscouata—Les Basques,Bloc Québécois
24062,Rivière-des-Mille-Îles,Bloc Québécois
24063,Rivière-du-Nord,Bloc Québécois
24064,Rosemont—La Petite-Patrie,NDP
59027,Saanich—Gulf Islands,Green Party
12008,Sackville—Preston—Chezzetcook,Liberal
46009,Saint Boniface—Saint Vital,Liberal
13009,Saint John—Rothesay,Liberal
24066,Saint-Hyacinthe—Bagot,Bloc Québécois
24067,Saint-Jean,Bloc Québécois
24068,Saint-Laurent,Liberal
24069,Saint-Léonard—Saint-Michel,Liberal
24070,Saint-Maurice—Champlain,Liberal
24071,Salaberry—Suroît,Bloc Québécois
35091,Sarnia—Lambton,Conservative
47012,Saskatoon West,Conservative
47010,Saskatoon—Grasswood,Conservative
47011,Saskatoon—University,Conservative
35092,Sault Ste. Marie,Liberal
35094,Scarborough Centre,Liberal
35096,Scarborough North,Liberal
35098,Scarborough Southwest,Liberal
35093,Scarborough—Agincourt,Liberal
35095,Scarborough—Guildwood,Liberal
35097,Scarborough—Rouge Park,Liberal
46010,Selkirk—Interlake—Eastman,Conservative
24072,Shefford,Bloc Québécois
24073,Sherbrooke,Liberal
48032,Sherwood Park—Fort Saskatchewan,Conservative
35100,Simcoe North,Conservative
35099,Simcoe—Grey,Conservative
59028,Skeena—Bulkley Valley,NDP
47013,Souris—Moose Mountain,Conservative
59029,South Okanagan—West Kootenay,NDP
12009,South Shore—St. Margarets,Liberal
59030,South Surrey—White Rock,Conservative
35101,Spadina—Fort York,Liberal
48031,St. Albert—Edmonton,Conservative
35089,St. Catharines,Liberal
10006,St. John's East,NDP
10007,St. John's South—Mount Pearl,Liberal
59031,Steveston—Richmond East,Conservative
35102,Stormont—Dundas—South Glengarry,Conservative
48033,Sturgeon River—Parkland,Conservative
35103,Sudbury,Liberal
59032,Surrey Centre,Liberal
59033,Surrey—Newton,Liberal
12010,Sydney—Victoria,Liberal
24075,Terrebonne,Bloc Québécois
24013,Thérèse-De Blainville,Bloc Québécois
35104,Thornhill,Conservative
35105,Thunder Bay—Rainy River,Liberal
35106,Thunder Bay—Superior North,Liberal
35107,Timmins—James Bay,NDP
13010,Tobique—Mactaquac,Conservative
